ID,Category,Geometry_Problem
67,Hình học không gian,"Cho hình chóp S .DEF có đáy là tam giác vuông tại D , SA vuông góc với đáy . Biết SA = 4cm ."
46,Tam giác,"Cho tam giác ABC vuông tại A , đường cao AH . Biết AB = 10cm , BC = 6cm ."
10,Tứ giác,"Cho hình thang MNPQ vuông tại M và N , có đáy nhỏ MN = 10cm , đáy lớn NP = 12cm ."
74,Tứ giác,Cho hình thoi EXYZ có hai đường chéo XZ = 12cm và BD = 8cm .
137,Hình học không gian,"Cho hình chóp S .DEF có đáy là tam giác vuông tại D , SA vuông góc với đáy . Biết SA = 10cm ."
105,Tứ giác,Cho hình thoi MNPQ có hai đường chéo MP = 12cm và NQ = 10cm .
206,Hình học không gian,Cho hình chóp S .MNPQ có đáy MNPQ là hình vuông cạnh 4cm .
248,Hình học không gian,Cho hình lập phương A1B1C1D1 .A2B2C2D2 có cạnh bằng 8cm .
126,Hình học không gian,"Cho hình lăng trụ đứng ABC .A'B'C' có đáy là tam giác đều cạnh 12cm , chiều cao h = 10cm ."
212,Hình học không gian,Cho hình chóp S .MNPQ có SA vuông góc với mặt phẳng đáy .
85,Tam giác,Cho tam giác ABC nhọn . Vẽ đường cao AD và BE cắt nhau tại H .
34,Đường tròn,Cho tam giác DEF nội tiếp đường tròn (O; 3cm). Tìm tâm đường tròn nội tiếp tam giác .
255,Đường tròn,Cho đường tròn tâm O đường kính 16cm.
69,Hình học không gian,Cho hình lập phương ABCD.A'B'C'D' có cạnh bằng 6cm .
47,Tam giác,Cho tam giác HIK đều cạnh bằng 10cm . Vẽ đường tròn ngoại tiếp tam giác HIK .
109,Tọa độ Oxyz,"Trong không gian Oxyz , cho ba điểm A(10 ,0 ,0), B(0 ,15 ,0), C(0 ,0 ,-1). Vẽ mặt phẳng (ABC)."
7,Hình học không gian,"Cho hình lăng trụ đứng ABC .A'B'C' có đáy là tam giác đều cạnh 5cm , chiều cao h = 15cm ."
31,Hình học không gian,"Cho hình chóp S .ABC có đáy là tam giác vuông tại A , SA vuông góc với đáy . Biết SA = 4cm ."
102,Tứ giác,"Cho hình thang ABCD vuông tại A and B , có đáy nhỏ AB = 12cm , đáy lớn BC = 18cm ."
56,Đường tròn,Cho hai đường tròn (O; 8cm) và (O'; 10cm) tiếp xúc ngoài tại A . Vẽ tiếp tuyến chung .
25,Tứ giác,"Cho hình bình hành ABCD có AB = 4cm , BC = 4cm , góc A bằng 45 độ."
178,Tọa độ Oxyz,"Trong mặt phẳng tọa độ Oxy , cho đường thẳng d: 3x + 12y + -2 = 0 và điểm M(3 , 4)."
205,Hình học không gian,"Cho hình chóp S .ABCD có SA vuông góc với đáy , biết SA = 6cm ."
133,Đường tròn,Cho hai đường tròn (O; 3cm) và (O'; 15cm) tiếp xúc ngoài tại A . Vẽ tiếp tuyến chung .
168,Tam giác,Cho tam giác MNP đều cạnh bằng 12cm . Vẽ đường tròn ngoại tiếp tam giác MNP .
16,Tứ giác,"Cho hình chữ nhật DEFG có cạnh DE = 12cm , EF = 12cm . Vẽ đường chéo DF ."
182,Tứ giác,"Cho hình thang MNPQ vuông tại M và N , có đáy nhỏ MQ = 5cm , đáy lớn NP = 6cm ."
227,Hình học không gian,Cho hình lập phương MNPQ .M'N'P'Q' có cạnh bằng 5cm .
235,Hình học không gian,Cho hình lập phương A1B1C1D1 .A2B2C2D2 biết A1B1 = 5cm .
143,Tam giác,"Cho tam giác ABC cân tại A có AB = 5cm , góc A bằng 45 độ. Vẽ đường cao AH ."
20,Tứ giác,"Cho hình chữ nhật ABCD có cạnh AB = 8cm , BC = 15cm . Vẽ đường chéo AC ."
243,Hình học không gian,Cho hình lập phương A1B1C1D1 .A2B2C2D2 có cạnh bằng 2cm .
68,Hình học không gian,"Cho hình chóp S .XYZ có đáy là tam giác vuông tại X , SA vuông góc với đáy . Biết SA = 4cm ."
200,Tam giác,Cho tam giác MNP đều cạnh bằng 8cm . Vẽ đường tròn ngoại tiếp tam giác MNP .
11,Hình học không gian,"Cho hình chóp S .ABCD có đáy là tam giác vuông tại A , SA vuông góc với đáy . Biết SA = 6cm ."
110,Tứ giác,"Cho hình thang XYZT vuông tại X and Y , có đáy nhỏ XT = 5cm , đáy lớn YZ = 12cm ."
61,Tứ giác,Cho hình vuông HIKN có cạnh bằng 6cm . Vẽ hai đường chéo cắt nhau tại O .
120,Tọa độ Oxyz,"Trong mặt phẳng tọa độ Oxy , cho đường thẳng d: 12x + 5y + 5 = 0 và điểm M(2 , 2)."
93,Hình học không gian,"Cho hình chóp tứ giác đều S .ABCD có cạnh đáy bằng 8cm , cạnh bên bằng 15cm ."
26,Tam giác,Cho tam giác XYZ đều cạnh bằng 10cm . Vẽ đường tròn ngoại tiếp tam giác XYZ .
76,Tam giác,"Cho tam giác ABC vuông tại B . Biết AB = 8cm , BC = 10cm ."
19,Tứ giác,"Cho hình chữ nhật GXYZ có cạnh XY = 8cm , YZ = 4cm . Vẽ đường chéo XZ ."
148,Hình học không gian,"Cho hình chóp S .MNPQ có đáy là tam giác vuông tại M , SA vuông góc với đáy . Biết SA = 5cm ."
138,Tứ giác,"Cho hình chữ nhật MHIK có cạnh HI = 3cm , IK = 8cm . Vẽ đường chéo HK ."
171,Tam giác,Cho tam giác ABC nhọn . Vẽ đường cao AD và BE cắt nhau tại H .
176,Hình học không gian,Cho hình lập phương XYZT.ABCD có cạnh bằng 4cm .
257,Đường tròn,Cho đường tròn tâm O bán kính 4cm.
153,Đường tròn,Cho hai đường tròn (O; 5cm) và (O'; 4cm) tiếp xúc ngoài tại A . Vẽ tiếp tuyến chung .
184,Tam giác,"Cho tam giác DEF cân tại D có DE = 6cm , góc D bằng 120 độ. Vẽ đường cao DH ."
91,Tứ giác,"Cho hình chữ nhật CDEF có cạnh DE = 6cm , EF = 5cm . Vẽ đường chéo DF ."
165,Hình học không gian,Cho hình lập phương HIKM.ABCD có cạnh bằng 8cm .
17,Hình học không gian,"Cho hình chóp S .XYZ có đáy là tam giác vuông tại X , SA vuông góc với đáy . Biết SA = 8cm ."
251,Đường tròn,Cho đường tròn tâm O đường kính 6cm.
180,Tam giác,Cho tam giác MNP nhọn . Vẽ đường cao MD và NE cắt nhau tại H .
116,Tứ giác,Cho hình thoi XYZT có hai đường chéo XZ = 10cm and YT = 8cm .
78,Tứ giác,Cho hình vuông ABCD có cạnh bằng 6cm . Vẽ hai đường chéo cắt nhau tại O .
181,Đường tròn,Cho tam giác MNP nội tiếp đường tròn (O; 8cm) .
39,Tứ giác,Cho hình vuông MNPQ có cạnh bằng 10cm . Vẽ hai đường chéo cắt nhau tại O .
149,Hình học không gian,"Cho hình chóp tứ giác đều S .MHIK có cạnh đáy bằng 3cm , cạnh bên bằng 10cm ."
160,Tam giác,"Cho tam giác HIK cân tại H có HI = 4cm , góc H bằng 120 độ. Vẽ đường cao HN ."
228,Hình học không gian,Cho hình lập phương ABCD .A'B'C'D' có đường chéo AC' = 6cm .
210,Hình học không gian,Cho hình chóp S .ABCD có đáy là hình chữ nhật có AB = 3cm .
83,Tọa độ Oxyz,"Trong không gian Oxyz , cho ba điểm A(3 ,0 ,0), B(0 ,6 ,0), C(0 ,0 ,3). Vẽ mặt phẳng (ABC)."
225,Hình học không gian,"Cho hình chóp S .ABC có đáy là tam giác vuông tại C , đường cao SA ."
112,Hình học không gian,"Cho hình chóp S .MNPQ có đáy là tam giác vuông tại M , SA vuông góc với đáy . Biết SA = 3cm ."
245,Hình học không gian,Cho hình lập phương ABCD .A'B'C'D' có cạnh bằng 3cm .
98,Tứ giác,"Cho hình thang XYZT vuông tại X and Y , có đáy nhỏ XT = 7cm , đáy lớn YZ = 10cm ."
185,Đường tròn,Cho tam giác ABC nội tiếp đường tròn (O; 10cm) .
87,Đường tròn,Cho đường tròn (O) đường kính DF = 10cm . Vẽ dây cung MN vuông góc với DF tại I .
246,Hình học không gian,Cho hình lập phương MNPQ .M'N'P'Q' có cạnh bằng 7cm .
141,Tam giác,"Cho tam giác MNPQ vuông tại M có MN = 8cm , NP = 15cm . Tính cạnh MP ."
252,Đường tròn,Cho đường tròn tâm O đường kính 12cm.
145,Đường tròn,Cho đường tròn (O) đường kính XZ = 8cm . Vẽ dây cung MN vuông góc với XZ tại I .
80,Tam giác,Cho tam giác MNP cân tại M có MN = 12cm . Vẽ đường cao MH .
140,Đường tròn,Cho đường tròn (O) đường kính XZ = 8cm . Vẽ dây cung MN vuông góc với XZ tại I .
70,Tứ giác,"Cho hình bình hành MNPQ có MN = 5cm , NP = 6cm , góc M bằng 45 độ."
3,Tứ giác,Cho hình vuông MNPQ có cạnh bằng 4cm . Vẽ hai đường chéo cắt nhau tại O .
118,Tứ giác,Cho hình vuông MNPQ có cạnh bằng 8cm . Vẽ hai đường chéo cắt nhau tại O .
229,Hình học không gian,Cho hình lập phương A1B1C1D1 .A2B2C2D2 có cạnh bằng 3cm .
173,Hình học không gian,"Cho hình lăng trụ đứng ABC .A'B'C' có đáy là tam giác đều cạnh 12cm , chiều cao h = 15cm ."
195,Tứ giác,Cho hình vuông ABCD có cạnh bằng 5cm . Vẽ hai đường chéo cắt nhau tại O .
97,Hình học không gian,"Cho hình lăng trụ đứng ABC .A'B'C' có đáy là tam giác đều cạnh 12cm , chiều cao h = 12cm ."
249,Hình học không gian,Cho hình lập phương XYZT .X'Y'Z'T' có cạnh bằng 5cm .
