ID,Category,Geometry_Problem
1,Tam giác,Cho tam giác ABC nhọn . Vẽ đường cao AD và BE cắt nhau tại H .
2,Hình học không gian,"Cho hình lăng trụ đứng ABC .A'B'C' có đáy là tam giác đều cạnh 3cm , chiều cao h = 10cm ."
3,Tứ giác,Cho hình vuông MNPQ có cạnh bằng 4cm . Vẽ hai đường chéo cắt nhau tại O .
4,Hình học không gian,"Cho hình chóp S .MNPQ có đáy là tam giác vuông tại M , SA vuông góc với đáy . Biết SA = 8cm ."
5,Đường tròn,"Cho đường tròn (O; 3cm) và điểm A nằm ngoài đường tròn sao cho OA = 4cm . Vẽ tiếp tuyến AB , AC ."
6,Tứ giác,"Cho hình thang ABCD vuông tại A và B , có đáy nhỏ AB = 12cm , đáy lớn BC = 4cm ."
7,Hình học không gian,"Cho hình lăng trụ đứng ABC .A'B'C' có đáy là tam giác đều cạnh 5cm , chiều cao h = 15cm ."
8,Tam giác,"Cho tam giác HIK cân tại H có HI = 10cm , góc H bằng 30 độ. Vẽ đường cao HH ."
9,Tứ giác,"Cho hình thang MNPQ vuông tại M và N , có đáy nhỏ MN = 6cm , đáy lớn NP = 12cm ."
10,Tứ giác,"Cho hình thang MNPQ vuông tại M và N , có đáy nhỏ MN = 10cm , đáy lớn NP = 12cm ."
11,Hình học không gian,"Cho hình chóp S .ABCD có đáy là tam giác vuông tại A , SA vuông góc với đáy . Biết SA = 6cm ."
12,Đường tròn,"Cho đường tròn tâm O bán kính 6cm và điểm A nằm ngoài đường tròn sao cho OA = 6cm . Vẽ tiếp tuyến AB , AC ."
13,Đường tròn,Cho đường tròn tâm O bán kính 10cm.
14,Hình học không gian,"Cho hình lăng trụ đứng ABC .A'B'C' có đáy là tam giác đều cạnh 5cm , chiều cao h = 12cm ."
15,Tứ giác,"Cho hình bình hành MNPQ có MN = 4cm , NP = 10cm , góc M bằng 30 độ."
16,Tứ giác,"Cho hình chữ nhật DEFG có cạnh DE = 12cm , EF = 12cm . Vẽ đường chéo DF ."
17,Hình học không gian,"Cho hình chóp S .XYZ có đáy là tam giác vuông tại X , SA vuông góc với đáy . Biết SA = 8cm ."
18,Tam giác,Cho tam giác DEF nhọn . Vẽ đường cao DD và EE cắt nhau tại H .
19,Tứ giác,"Cho hình chữ nhật GXYZ có cạnh XY = 8cm , YZ = 4cm . Vẽ đường chéo XZ ."
20,Tứ giác,"Cho hình chữ nhật ABCD có cạnh AB = 8cm , BC = 15cm . Vẽ đường chéo AC ."
21,Tam giác,Cho tam giác DEF nhọn . Vẽ đường cao DD và EE cắt nhau tại H .
22,Tam giác,Cho tam giác HIK đều cạnh bằng 3cm . Vẽ đường tròn ngoại tiếp tam giác HIK .
23,Hình học không gian,"Cho hình lăng trụ đứng ABC .A'B'C' có đáy là tam giác đều cạnh 4cm , chiều cao h = 6cm ."
24,Tứ giác,Cho hình thoi ABC có hai đường chéo AC = 6cm và BD = 12cm .
25,Tứ giác,"Cho hình bình hành ABCD có AB = 4cm , BC = 4cm , góc A bằng 45 độ."
26,Tam giác,Cho tam giác XYZ đều cạnh bằng 10cm . Vẽ đường tròn ngoại tiếp tam giác XYZ .
27,Tam giác,Cho tam giác DEF đều cạnh bằng 8cm . Vẽ đường tròn ngoại tiếp tam giác DEF .
28,Tọa độ Oxyz,"Trong không gian Oxyz , cho ba điểm A(6 ,0 ,0), B(0 ,5 ,0), C(0 ,0 ,2). Vẽ mặt phẳng (ABC)."
29,Đường tròn,Cho hai đường tròn (O; 5cm) và (O'; 8cm) tiếp xúc ngoài tại A . Vẽ tiếp tuyến chung .
30,Đường tròn,Cho tam giác DEF nội tiếp đường tròn (O; 10cm). Tìm tâm đường tròn nội tiếp tam giác .
31,Hình học không gian,"Cho hình chóp S .ABC có đáy là tam giác vuông tại A , SA vuông góc với đáy . Biết SA = 4cm ."
32,Hình học không gian,"Cho hình chóp S .MNP có đáy là tam giác vuông tại M , SA vuông góc với đáy . Biết SA = 12cm ."
33,Tứ giác,"Cho hình chữ nhật MNPQ có cạnh MN = 6cm , NP = 8cm . Vẽ đường chéo MP ."
34,Đường tròn,Cho tam giác DEF nội tiếp đường tròn (O; 3cm). Tìm tâm đường tròn nội tiếp tam giác .
35,Hình học không gian,"Cho hình chóp tứ giác đều S .ABC có cạnh đáy bằng 4cm , cạnh bên bằng 5cm ."
36,Tam giác,"Cho tam giác MNP cân tại M có MN = 8cm , góc M bằng 30 độ. Vẽ đường cao MH ."
37,Tam giác,Cho tam giác DEF đều cạnh bằng 8cm . Vẽ đường tròn ngoại tiếp tam giác DEF .
38,Tứ giác,"Cho hình bình hành XYZT có XY = 8cm , YZ = 10cm , góc X bằng 60 độ."
39,Tứ giác,Cho hình vuông MNPQ có cạnh bằng 10cm . Vẽ hai đường chéo cắt nhau tại O .
40,Tứ giác,Cho hình thoi ABCD có hai đường chéo AC = 6cm và BD = 6cm .
41,Hình học không gian,"Cho hình lăng trụ đứng ABC .A'B'C' có đáy là tam giác đều cạnh 4cm , chiều cao h = 10cm ."
42,Tứ giác,"Cho hình bình hành XYZT có XY = 5cm , YZ = 6cm , góc X bằng 30 độ."
43,Tam giác,Cho tam giác XYZ nhọn . Vẽ đường cao XD và YE cắt nhau tại H .
44,Tọa độ Oxyz,"Trong mặt phẳng tọa độ Oxy , cho đường thẳng d: 4x + 12y + 1 = 0 và điểm M(2 , 2)."
45,Tam giác,"Cho tam giác XYZ cân tại X có XY = 3cm , góc X bằng 30 độ. Vẽ đường cao XH ."
46,Tam giác,"Cho tam giác ABC vuông tại A , đường cao AH . Biết AB = 10cm , BC = 6cm ."
47,Tam giác,Cho tam giác HIK đều cạnh bằng 10cm . Vẽ đường tròn ngoại tiếp tam giác HIK .
48,Tam giác,"Cho tam giác MNPQ vuông tại M , đường cao MH . Biết MN = 3cm , NP = 6cm ."
49,Tam giác,Cho tam giác MNP nhọn . Vẽ đường cao MD và NE cắt nhau tại H .
50,Tứ giác,"Cho hình chữ nhật AXYZ có cạnh XY = 6cm , YZ = 4cm . Vẽ đường chéo XZ ."
51,Tứ giác,"Cho hình chữ nhật MNPQ có cạnh MN = 12cm , NP = 12cm . Vẽ đường chéo MP ."
52,Tứ giác,Cho hình vuông ABCD có cạnh bằng 12cm . Vẽ hai đường chéo cắt nhau tại O .
53,Tứ giác,Cho hình vuông DEFG có cạnh bằng 6cm . Vẽ hai đường chéo cắt nhau tại O .
54,Đường tròn,Cho tam giác XYZ nội tiếp đường tròn (O; 10cm). Tìm tâm đường tròn nội tiếp tam giác .
55,Tứ giác,"Cho hình chữ nhật RXYZ có cạnh XY = 8cm , YZ = 6cm . Vẽ đường chéo XZ ."
56,Đường tròn,Cho hai đường tròn (O; 8cm) và (O'; 10cm) tiếp xúc ngoài tại A . Vẽ tiếp tuyến chung .
